plant,energy_mwh,revenue,profit
Shasta,61273.40484000052,985376.8372440939,985376.8372440939
Mammoth,15901.475169999894,256147.18214591692,256147.18214591692
Devil Canyon,964.9082999999991,16917.52522399292,16917.52522399292
