DateTime,name,value
2019-10-08T00:00:00.0,1951,1618.3977229333323
2019-10-08T01:00:00.0,1951,1581.8571843359996
2019-10-08T02:00:00.0,1951,1566.6577419999999
2019-10-08T03:00:00.0,1951,1577.3063277833332
2019-10-08T04:00:00.0,1951,1597.2676394333334
2019-10-08T05:00:00.0,1951,1669.6337162066668
2019-10-08T06:00:00.0,1951,1726.961759333333
2019-10-08T07:00:00.0,1951,1601.415965
2019-10-08T08:00:00.0,1951,1523.5351956666668
2019-10-08T09:00:00.0,1951,1501.7369400319997
2019-10-08T10:00:00.0,1951,1514.0227342400003
2019-10-08T11:00:00.0,1951,1513.4934449100003
2019-10-08T12:00:00.0,1951,1523.8478050999997
2019-10-08T13:00:00.0,1951,1525.0532553999997
2019-10-08T14:00:00.0,1951,1539.419325
2019-10-08T15:00:00.0,1951,1562.3918824799987
2019-10-08T16:00:00.0,1951,1669.6337162066668
2019-10-08T17:00:00.0,1951,1828.55605634
2019-10-08T18:00:00.0,1951,1851.6739452499999
2019-10-08T19:00:00.0,1951,1819.704952
2019-10-08T20:00:00.0,1951,1797.4179700000002
2019-10-08T21:00:00.0,1951,1726.6154723900008
2019-10-08T22:00:00.0,1951,1652.7867621600005
2019-10-08T23:00:00.0,1951,1620.6800481299995
2019-10-09T00:00:00.0,1951,1566.3831404100006
2019-10-09T01:00:00.0,1951,1545.4543174633334
2019-10-09T02:00:00.0,1951,1543.4076950000006
2019-10-09T03:00:00.0,1951,1545.4501492400004
2019-10-09T04:00:00.0,1951,1566.6577419999999
2019-10-09T05:00:00.0,1951,1632.5289366666668
2019-10-09T06:00:00.0,1951,1713.9109701399996
2019-10-09T07:00:00.0,1951,1589.65385
2019-10-09T08:00:00.0,1951,1489.0736819999988
2019-10-09T09:00:00.0,1951,1417.43451
2019-10-09T10:00:00.0,1951,1393.1585394600006
2019-10-09T11:00:00.0,1951,1332.0560581
2019-10-09T12:00:00.0,1951,1332.0560580999997
2019-10-09T13:00:00.0,1951,1367.1006389499967
2019-10-09T14:00:00.0,1951,1402.1320994666657
2019-10-09T15:00:00.0,1951,1434.8568750800002
2019-10-09T16:00:00.0,1951,1566.6577420000003
2019-10-09T17:00:00.0,1951,1736.7564036
2019-10-09T18:00:00.0,1951,1801.8419743000004
2019-10-09T19:00:00.0,1951,1760.6044514166658
2019-10-09T20:00:00.0,1951,1723.5181188
2019-10-09T21:00:00.0,1951,1632.5289366666668
2019-10-09T22:00:00.0,1951,1566.383140410001
2019-10-09T23:00:00.0,1951,1550.9960378
2019-10-10T00:00:00.0,1951,1539.419325
2019-10-10T01:00:00.0,1951,1547.50040005
2019-10-10T02:00:00.0,1951,1556.920615
2019-10-10T03:00:00.0,1951,1566.383140410001
2019-10-10T04:00:00.0,1951,1591.7988129999997
2019-10-10T05:00:00.0,1951,1632.5289366666668
2019-10-10T06:00:00.0,1951,1686.5935239200005
2019-10-10T07:00:00.0,1951,1568.7237646000005
2019-10-10T08:00:00.0,1951,1417.43451
2019-10-10T09:00:00.0,1951,1363.4075558933337
2019-10-10T10:00:00.0,1951,1263.2559670000012
2019-10-10T11:00:00.0,1951,1263.2559670000012
2019-10-10T12:00:00.0,1951,1278.4186700000005
2019-10-10T13:00:00.0,1951,1366.5373009333325
2019-10-10T14:00:00.0,1951,1417.43451
2019-10-10T15:00:00.0,1951,1518.42506254
2019-10-10T16:00:00.0,1951,1590.0699544799988
2019-10-10T17:00:00.0,1951,1803.0046135500004
2019-10-10T18:00:00.0,1951,1834.4707476
2019-10-10T19:00:00.0,1951,1831.005731800001
2019-10-10T20:00:00.0,1951,1809.3680963999998
2019-10-10T21:00:00.0,1951,1763.667954000001
2019-10-10T22:00:00.0,1951,1719.6867828
2019-10-10T23:00:00.0,1951,1652.7867621600005
2019-10-11T00:00:00.0,1951,1632.5289366666668
2019-10-11T01:00:00.0,1951,1597.2676394333334
2019-10-11T02:00:00.0,1951,1591.7988129999997
2019-10-11T03:00:00.0,1951,1599.5739960000012
2019-10-11T04:00:00.0,1951,1632.5289366666668
2019-10-11T05:00:00.0,1951,1678.9790594399994
2019-10-11T06:00:00.0,1951,1731.1449501600002
2019-10-11T07:00:00.0,1951,1618.1127920133335
2019-10-11T08:00:00.0,1951,1523.5351956666668
2019-10-11T09:00:00.0,1951,1438.3554827100002
2019-10-11T10:00:00.0,1951,1428.714516666667
2019-10-11T11:00:00.0,1951,1428.714516666667
2019-10-11T12:00:00.0,1951,1438.3333089666664
2019-10-11T13:00:00.0,1951,1463.3009002666668
2019-10-11T14:00:00.0,1951,1523.8478050999997
2019-10-11T15:00:00.0,1951,1566.6577419999999
2019-10-11T16:00:00.0,1951,1714.9465189333332
2019-10-11T17:00:00.0,1951,1834.4707476
2019-10-11T18:00:00.0,1951,1865.89233
2019-10-11T19:00:00.0,1951,1842.2946707999997
2019-10-11T20:00:00.0,1951,1818.1104242000001
2019-10-11T21:00:00.0,1951,1801.8419743000004
2019-10-11T22:00:00.0,1951,1728.903780000001
2019-10-11T23:00:00.0,1951,1686.5935239200005
2019-10-12T00:00:00.0,1951,1652.6279874999996
2019-10-12T01:00:00.0,1951,1632.5289366666668
2019-10-12T02:00:00.0,1951,1626.3071579999996
2019-10-12T03:00:00.0,1951,1618.1127920133333
2019-10-12T04:00:00.0,1951,1632.5289366666668
2019-10-12T05:00:00.0,1951,1635.6298075999998
2019-10-12T06:00:00.0,1951,1652.7867621600005
2019-10-12T07:00:00.0,1951,1550.217276666667
2019-10-12T08:00:00.0,1951,1428.714516666667
2019-10-12T09:00:00.0,1951,1393.1585394600006
2019-10-12T10:00:00.0,1951,1366.5373009333266
2019-10-12T11:00:00.0,1951,1332.056058099999
2019-10-12T12:00:00.0,1951,1382.7698276800002
2019-10-12T13:00:00.0,1951,1390.3142300000002
2019-10-12T14:00:00.0,1951,1417.43451
2019-10-12T15:00:00.0,1951,1515.6473503333332
2019-10-12T16:00:00.0,1951,1601.415965
2019-10-12T17:00:00.0,1951,1805.2273669000003
2019-10-12T18:00:00.0,1951,1820.1154524
2019-10-12T19:00:00.0,1951,1809.3680964
2019-10-12T20:00:00.0,1951,1800.5655967999999
2019-10-12T21:00:00.0,1951,1737.0163249999996
2019-10-12T22:00:00.0,1951,1716.8734766666678
2019-10-12T23:00:00.0,1951,1652.7867621600005
2019-10-13T00:00:00.0,1951,1632.5289366666668
2019-10-13T01:00:00.0,1951,1608.2254280666668
2019-10-13T02:00:00.0,1951,1592.1991058399997
2019-10-13T03:00:00.0,1951,1591.0181025599998
2019-10-13T04:00:00.0,1951,1591.7988129999997
