gen_name,energy_mwh,revenue,profit
gen-297,302.022943142857,5192.03027469927,5192.03027469927
gen-154,79.79758000000007,1377.8318612940775,1377.8318612940775
gen-273,1479.8162952068888,22229.165785719528,22229.165785719528
gen-272,1130.1789840788267,16977.064035581476,16977.064035581476
gen-155,79.79758000000007,1377.8318612940775,1377.8318612940775
gen-271,1130.1789840788267,16977.064035581476,16977.064035581476
gen-299,302.022943142857,5192.03027469927,5192.03027469927
gen-295,302.022943142857,5192.03027469927,5192.03027469927
gen-296,302.022943142857,5192.03027469927,5192.03027469927
gen-298,302.022943142857,5192.03027469927,5192.03027469927
gen-274,1479.8162952068888,22229.165785719528,22229.165785719528
