DateTime,gen-154,gen-155,gen-271,gen-272,gen-273,gen-274,gen-295,gen-296,gen-297,gen-298,gen-299
2019-01-01T00:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T01:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T02:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T03:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T04:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T05:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T06:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T07:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T08:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T09:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T10:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T11:00:00.0,0.0,0.0,0.0,0.0,42.38210711903216,42.38210711903216,0.0,0.0,0.0,0.0,0.0
2019-01-01T12:00:00.0,0.0,0.0,34.47334083332028,34.47334083332028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T13:00:00.0,0.0,0.0,17.94630177555619,17.94630177555619,26.25431455780609,26.25431455780609,0.0,0.0,0.0,0.0,0.0
2019-01-01T14:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T15:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T16:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
2019-01-01T17:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,22.347873142857022,22.347873142857022,22.347873142857022,22.347873142857022,22.347873142857022
2019-01-01T18:00:00.0,6.615062300008667,6.615062300008667,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,55.935014,55.935014,55.935014,55.935014,55.935014
2019-01-01T19:00:00.0,33.84488999999999,33.84488999999999,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,55.935014,55.935014,55.935014,55.935014,55.935014
2019-01-01T20:00:00.0,33.84488999999999,33.84488999999999,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,55.935014,55.935014,55.935014,55.935014,55.935014
2019-01-01T21:00:00.0,5.492737699991402,5.492737699991402,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,55.935014,55.935014,55.935014,55.935014,55.935014
2019-01-01T22:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,55.935014,55.935014,55.935014,55.935014,55.935014
2019-01-01T23:00:00.0,0.0,0.0,51.32187340333093,51.32187340333093,67.19904159666908,67.19904159666908,0.0,0.0,0.0,0.0,0.0
