bus_number
2667
6758
2798
8499
240
8204
303
584
2602
2245
1728
3884
8031
8463
8593
1510
7791
332
1834
7892
2153
2806
2328
2126
1783
8831
8599
7733
8147
5447
1901
1603
317
229
8704
4707
814
418
1178
8329
8834
7707
5372
7619
2333
1954
8010
8405
322
7631
1640
7661
2044
1058
1680
8501
1727
3035
8179
8762
2235
8102
6530
348
196
706
401
1810
1146
2091
5192
8503
19
327
8403
3308
1128
7755
1016
995
3336
7956
8041
8743
3662
8114
7591
8864
5193
8865
8788
803
741
7991
5191
8774
1498
1644
282
4665
4322
288
7778
8790
8552
1933
751
7908
2005
8234
8630
2208
8562
3571
6578
8148
1702
2234
8830
8498
1412
8020
7675
1831
326
8591
4534
8108
580
2159
8631
4818
7674
7786
8747
6251
1059
8266
3399
8339
8540
4821
3944
1595
6493
1173
1761
17
4312
1820
4885
4051
3284
7906
254
4083
2151
3664
1881
4200
6435
2405
8407
5195
7761
2068
1090
3532
595
8587
4602
2152
467
1862
2220
8544
2080
8269
8735
2300
8347
8231
708
280
8104
1730
5419
6761
1114
998
1326
407
342
8418
1176
1819
344
1606
5356
5066
4668
1329
2053
4712
7751
8414
7795
8832
4722
7938
471
3137
7681
4863
4864
276
8302
7603
363
7087
8523
8196
1248
6730
8178
1497
1683
8180
1747
7975
6672
465
2696
8199
8475
7625
749
5064
481
1762
4209
4862
7911
550
7785
3242
5051
3557
7971
710
7893
1893
523
8342
1787
799
2849
8750
8486
8420
1797
7904
1844
1027
6705
4713
1717
1937
1384
77
8739
8461
1712
4129
1506
8573
4858
1526
228
385
8496
7928
2314
4236
8226
1211
2402
7770
7686
8362
8522
2084
8145
8455
8504
2857
8192
2379
1085
8603
1830
3022
3973
3556
8191
4717
3764
8758
8863
1945
4310
8082
2105
259
7641
1337
8402
8645
1265
8561
1733
4746
8018
7882
4715
1656
1485
2803
1592
782
1936
4461
1709
429
2179
362
3756
8113
8186
1399
2196
8703
1658
4469
4866
2365
8341
37
7767
1632
7889
5371
3123
775
8377
8489
3271
7830
1508
8044
8202
7898
1847
4555
1898
513
6776
2626
8261
7985
1241
685
1693
4308
7659
1824
1066
2337
2403
8315
2063
8604
308
7773
7909
3342
7655
7947
8550
2629
8806
2823
1657
1807
5068
8761
1239
6524
1203
1188
1596
2401
7684
3765
4709
7806
8571
2113
198
8207
1951
8185
5152
8317
8527
2560
8400
8694
7711
6729
2135
8524
2799
8289
8306
1193
111
3370
1458
4195
2264
8022
7989
3809
7850
1855
8340
2254
2176
7588
2505
8262
4238
8623
8730
2862
7771
3305
8843
4237
5370
3581
475
780
5089
8754
3660
7808
8071
7948
7984
371
6759
1129
3077
2318
