gen_name,energy_mwh,revenue,profit
gen-297,302.02294314285706,6900.558655773091,6900.558655773091
gen-154,79.79758000000005,1823.1988459177728,1823.1988459177728
gen-273,1479.8162952068888,32416.768246377495,32416.768246377495
gen-272,1130.1789840788265,24757.633986377747,24757.633986377747
gen-155,79.79758000000005,1823.1988459177728,1823.1988459177728
gen-271,1130.1789840788265,24757.633986377747,24757.633986377747
gen-299,302.02294314285706,6900.558655773091,6900.558655773091
gen-295,302.02294314285706,6900.558655773091,6900.558655773091
gen-296,302.02294314285706,6900.558655773091,6900.558655773091
gen-298,302.02294314285706,6900.558655773091,6900.558655773091
gen-274,1479.8162952068888,32416.768246377495,32416.768246377495
