gen_name,energy_mwh,revenue,profit
gen-297,302.022943142857,4734.88609678459,4734.88609678459
gen-154,79.79757999999998,1251.0056429547715,1251.0056429547715
gen-273,1479.8162952068888,22188.008143535448,22188.008143535448
gen-272,1130.1789840788265,16945.630740529014,16945.630740529014
gen-155,79.79757999999998,1251.0056429547715,1251.0056429547715
gen-271,1130.1789840788265,16945.630740529014,16945.630740529014
gen-299,302.022943142857,4734.88609678459,4734.88609678459
gen-295,302.022943142857,4734.88609678459,4734.88609678459
gen-296,302.022943142857,4734.88609678459,4734.88609678459
gen-298,302.022943142857,4734.88609678459,4734.88609678459
gen-274,1479.8162952068888,22188.008143535448,22188.008143535448
